longitude,latitude,B2,B3,B4,B8,B11,B12,NDVI,EVI,SAVI,NBR,ETH_CanopyHeight,Elevation,Slope,Aspect,Class
111.7010589196061,-8.04993800828765,969.0,1156.0,1252.0,2508.0,3679.0,2575.0,0.33404255,1.140366805883421,0.5009972078181093,-0.013181192,15,161,11,37,Secondary_Forest
111.7010589196061,-8.050027839816062,1142.0,1172.0,1246.0,2595.0,3679.0,2575.0,0.35121062,2.2378898473788986,0.5267473643108161,0.003868472,16,163,11,44,Secondary_Forest
111.70078942502087,-8.049848176759237,1190.0,1206.0,1304.0,3077.0,3647.0,2748.0,0.40470213,2.2420333839150226,0.6069839096199932,0.056480687,15,162,14,39,Secondary_Forest
111.70114875113451,-8.049668513702414,1094.0,1184.0,1224.0,2735.0,3589.0,2512.0,0.38166204,2.0146666666666664,0.5724207601969946,0.042500477,17,154,12,23,Secondary_Forest
111.6995317836231,-8.049578682174003,910.0,883.0,1064.0,2475.0,3368.0,2218.0,0.3987002,1.7334152334152333,0.5979658143805623,0.05476241,16,187,17,43,Secondary_Forest
111.69710633235597,-8.051465144270653,808.0,964.0,684.0,3256.0,2357.0,1353.0,0.65279186,4.942352036894697,0.9790635706128663,0.41288784,25,154,16,273,Secondary_Forest
111.69629784860027,-8.050117671344474,893.0,1046.0,1040.0,3164.0,2697.0,1813.0,0.5052331,1.961218836565097,0.7577595433464146,0.27144867,25,151,16,203,Secondary_Forest
111.70141824571975,-8.048231209247822,1236.0,1332.0,1080.0,3483.0,2589.0,1650.0,0.52662724,8.656340057636887,0.7898542785142983,0.3571011,21,138,8,92,Secondary_Forest
111.69602835401504,-8.045536263395464,778.0,763.0,726.0,2541.0,2416.0,1529.0,0.5555556,4.268579492003763,0.8332058148431523,0.24864864,17,302,21,296,Secondary_Forest
111.69513003873091,-8.045536263395464,1116.0,1046.0,1011.0,2636.0,2792.0,2110.0,0.4455717,12.1996996996997,0.6682659355723098,0.11083017,22,266,20,276,Secondary_Forest
111.6927045874638,-8.0458057579807,755.0,986.0,974.0,3196.0,2661.0,1639.0,0.5328537,1.6442208080509102,0.7991847500299725,0.32202688,24,164,14,295,Secondary_Forest
111.69297408204903,-8.045715926452289,738.0,946.0,744.0,3708.0,2680.0,1529.0,0.6657682,2.8089461713419257,0.9985401459854015,0.4160779,24,171,17,278,Secondary_Forest
111.69216559829331,-8.046165084094348,782.0,919.0,695.0,3492.0,2633.0,1427.0,0.66802007,3.889043381535039,1.001910447761194,0.41980076,21,158,12,288,Secondary_Forest
111.69243509287855,-8.045895589509112,850.0,974.0,861.0,3185.0,2697.0,1680.0,0.57439446,2.9387961557916036,0.8614852341529716,0.30935252,24,159,11,304,Secondary_Forest
